Title,avgRating,sentiment_rating_category,review/summary,sentiment_category,Genre,Author,Rating_Ordinal,Genre_Encoded,sentiment_categoty_encoded
A Fine Balance,4.43342776203966,Must Read,The Book I Dream of Writing,Good,Fiction,Rohinton Mistry,5.0,1,3
Peace of Soul,4.384615384615385,Must Read,Not representative of Catholicism.,Average,Religion,Fulton J. Sheen,5.0,6,2
"The velveteen rabbit;: Or, how toys become real",4.592476489028213,Must Read,Share with your family.,Good,Juvenile Fiction,"Komako Sakai, Margery Williams Bianco",5.0,9,3
Wuthering Heights,4.05462962962963,Must Read,Superb recording of the Emily Bronte masterpiece,Must Read,Unknown,Emily Bronte,5.0,0,5
Forgotten Star,4.222222222222222,Must Read,Fabulous First !!,Very Good,Interplanetary voyages,Joseph Greene,5.0,1367,4
Catch 22,4.390595009596929,Must Read,Humour and Craziness makes the Catch-22,Good,Fiction,Joseph Heller,5.0,1,3
Black Rose,4.317880794701987,Must Read,Rachel,Average,Fiction,Tananarive Due,5.0,1,2
Ulysses,3.8265139116202946,Very Good,Kindle edition plagued by errors,Average,Unknown,"James Augustine Aloysius Joyce, John Vandenbergh (pseud. van Jan Hendrik Willem Schlamilch.)",4.0,0,2
DESSA ROSE.,4.142857142857143,Must Read,EXCELLANT!,Average,Fiction,Sherley Anne Williams,5.0,1,2
Their Eyes Were Watching God,4.322935779816514,Must Read,This is a superb must-read book,Very Good,Reference,Zora Neale Hurston,5.0,128,4
The Stand: The Complete and Uncut Edition (ISBN:0340358955),4.4851190476190474,Must Read,epic story of disease of the human mind,Average,Fiction,Alena Graedon,5.0,1,2
Down Under; Abridged,4.445614035087719,Must Read,An Excellent Novel,Very Good,Greek language,Henry George Liddell,5.0,380,4
Emma (Letras Universales / Universal Writings) (Spanish Edition),4.2309278350515465,Must Read,got to read,Average,Fiction,Jane Austen,5.0,1,2
The Autobiography of Benjamin Franklin,4.190839694656488,Must Read,"This item is what it was represented to be, and I am most appreciative of the fact that I received what I paid for.",Very Good,Unknown,Benjamin Franklin,5.0,0,4
Wizard: The Life and Times of Nikola Tesla : Biography of a Genius,3.9838709677419355,Very Good,huh,Average,Electrical engineers,M. Seifer,4.0,527,2
The Shadow of the Wind Bestseller's Choice Audio,4.418128654970761,Must Read,Very good...Great?,Average,Fiction,Carlos Ruiz Zafon,5.0,1,2
Never Cry Wolf,4.11864406779661,Must Read,Wolves: From fairy tale to reality,Average,Animal behavior,Farley Mowat,5.0,17,2
Battles Of The Revolutionary War: 1775-1781 (Major Battles and Campaigns),4.05,Must Read,Useful summary of key Revolutionary War battles,Poor,History,W. J. Wood,5.0,8,1
The Eleventh Plague,3.863157894736842,Very Good,"A wonderful, interesting and very educational book",Must Read,Juvenile Fiction,Jeff Hirsch,4.0,9,5
The ship,4.333333333333333,Must Read,The Ship,Average,Fiction,Antonia Honeywell,5.0,1,2
Discourses on Livy,4.142857142857143,Must Read,Another Machiavelli. Different from the often known one.,Average,Philosophy,Niccolò Machiavelli,5.0,29,2
"Little Women or Meg, Jo, Beth, and Amy.",4.444444444444445,Must Read,Good,Good,Juvenile Fiction,Rey Terciero,5.0,9,3
THE DREAMTIME: Australian Aboriginal Myths in Paintings,5.0,Must Read,Great book! Thanks!,Must Read,Aboriginal Australians,Charles Pearcy Mountford,5.0,570,5
The sun also rises (The Modern library of the world's best books),3.864985163204748,Very Good,Beauty in words,Very Good,Unknown,Ernest Hemingway,4.0,0,4
A Room with a View,4.171597633136095,Must Read,A true great,Must Read,Unknown,E M Forster,5.0,0,5
An Infamous Army,4.2,Must Read,Far superior even to Heyer's more light-hearted romances,Very Good,Fiction,Georgette Heyer,5.0,1,4
Zen and the Art of Motorcycle Maintenance : An Inquiry into Values,3.9985974754558207,Very Good,One of the three books that guide my daily life.,Average,Philosophy,Robert M. Pirsig,4.0,29,2
Drums of Autumn Hardcover First Edition,4.495069033530572,Must Read,good book,Good,Fiction,Diana Gabaldon,5.0,1,3
Wide Sargasso Sea,3.6809815950920246,Very Good,The Downfall of Literature,Average,Fiction,Jean Rhys,4.0,1,2
Cooky book,4.910256410256411,Must Read,Nostalgic!,Average,Cookies,Betty Crocker,5.0,1058,2
Five Lessons The Modern Fundamentals of Golf,4.700296735905044,Must Read,Golf schmolf,Average,Sports & Recreation,Ben Hogan,5.0,68,2
STRANGER IN A STRANGE LAND,3.9695712309820195,Very Good,"""Grok This, Earthbound Wastrels!""",Average,Fiction,Robert A. Heinlein,4.0,1,2
Riding the Wild Side of Denali: Adventures with Horses and Huskies,5.0,Must Read,Interesting book about Alaska and Icelandic Horses,Good,Biography & Autobiography,Julie Collins,5.0,14,3
Dubliners (Dover Large Print Classics),4.475935828877005,Must Read,speaks to the soul,Average,Fiction,James Joyce,5.0,1,2
The River Knows,3.896551724137931,Very Good,Engaging light romance,Very Good,Nature,Wayne Fields,4.0,28,4
"Winter's Heart (The Wheel of Time, Book 9)",3.3081597222222223,Very Good,Welcome Back Robert Jordan!!,Very Good,Fiction,Robert Jordan,4.0,1,4
I Know Why the Caged Bird Sings,4.038759689922481,Must Read,I Know Why the Caged Bird Sings Volume 1 Issue 1,Average,Biography & Autobiography,Maya Angelou,5.0,14,2
Atlas Shrugged,4.0304761904761905,Must Read,Required reading,Average,Unknown,Unknown,5.0,0,2
The Secret Adversary,4.24375,Must Read,addictive story,Average,Fiction,Agatha Christie,5.0,1,2
Everything's Eventual: 14 Dark Tales,4.127976190476191,Must Read,King Shows Off His Range in 14 Excellent Stories (or at least 11 or 12 are Excellent... :),Must Read,Fiction,Stephen King,5.0,1,5
The Red Badge of Courage: An Episode of the American Civil War,3.6182669789227164,Very Good,Boring and hard to understand,Average,Unknown,Stephen Crane,4.0,0,2
Fahrenheit 451,4.158980582524272,Must Read,Fahrenheit 451 Review,Average,Book burning,Ray Bradbury,5.0,91,2
Jesus' Son,4.5,Must Read,A Modern American Masterpiece,Very Good,Fiction,Denis Johnson,5.0,1,4
The Color Purple,4.288107202680067,Must Read,The Journey of Celie in The Color Purple,Average,Unknown,Unknown,5.0,0,2
Dream Sewing Spaces: Design & Organization for Spaces Large and Small,4.647058823529412,Must Read,nothing new,Average,Architecture,Lynette Ranney Black,5.0,60,2
The Day of the Locust,3.888888888888889,Very Good,A Hodgepodge of unique characters and situations,Average,Accountants,Nathanael West,4.0,378,2
Of Mice and Men Hb (New Windmill),4.351111111111111,Must Read,Of Mice and Men- does this title suggest more?,Average,Antiquarian booksellers,Unknown,5.0,190,2
"Shakespeare's imagery and what it tells us,",4.571428571428571,Must Read,"""Green"" thumbs and fertile soil",Average,Literary Criticism,Caroline Spurgeon,5.0,3,2
Great Gatsby (Everyman),4.152941176470589,Must Read,An American classic,Average,American Dream,F. Scott Fitzgerald,5.0,5,2
The Mayor of Casterbridge,4.183098591549296,Must Read,A Successful Novel About A Failed Life,Good,Atonement,Thomas Hardy,5.0,499,3
Halliwell's Film and Video Guide 1998,4.6,Must Read,Trust Halliwell's own voice for 'Film Guide',Very Good,Motion pictures,Unknown,5.0,1803,4
Middlemarch (Turtleback School & Library Binding Edition) (Penguin Classics),4.295238095238095,Must Read,A book too long,Average,Juvenile Nonfiction,Paul B. Janeczko,5.0,120,2
War And Remembrance,4.421052631578948,Must Read,Is it really 5 stars?,Average,English fiction,Herman Wouk,5.0,194,2
Ubik (The Gregg Press science fiction series),4.409090909090909,Must Read,Ubik is Unique,Average,Businessmen,Philip K. Dick,5.0,451,2
"Global Communication and World Politics: Domination, Development, and Discourse",5.0,Must Read,Global dialogue for a global peace,Very Good,Political Science,Majid Tehranian,5.0,16,4
Roses Are Red,3.487329434697856,Very Good,Not up to par,Average,Fiction,James Patterson,4.0,1,2
Career development for youth (Going to work: choosing a direction),2.8415841584158414,Good,My First Anne Lamott--and I Liked It,Good,Agriculture,Susan Chapman,3.0,180,3
Points and Lines,4.333333333333333,Must Read,An amazingly ingenious literary feat!,Average,Mathematics,Branko Grünbaum,5.0,52,2
Healthy Syrian and Lebanese Cooking,5.0,Must Read,Healthy Syrian/Lebanese Cooking,Good,Cooking,Helen Corey,5.0,15,3
While you are away,4.666666666666667,Must Read,Great choice,Very Good,Juvenile Fiction,Eileen Spinelli,5.0,9,4
Mr. Popper's Penguins,4.623318385650224,Must Read,Mr. Popper's penguins,Average,Humorous stories,"Richard Atwater, Florence Atwater",5.0,175,2
Tess of the D'Urbervilles,4.169411764705882,Must Read,Tess---Victim of Society,Average,Fiction,Thomas Hardy,5.0,1,2
Jurassic Park,4.585518102372035,Must Read,See the movie.,Average,Fiction,Michael Crichton,5.0,1,2
"Beginning Direct3D Game Programming, Second Edition (Premier Press Game Development)",3.9166666666666665,Very Good,Overview,Average,Computers,Wolfgang F. Engel,4.0,65,2
The Day After Roswell The Truth Exposed After Fifty Years,3.898989898989899,Very Good,An EgoManiac and a Charlatan!,Average,"Body, Mind & Spirit","Philip J. Corso, William J. Birnes",4.0,4,2
The Old Man and the Sea,4.0404371584699454,Must Read,the old man and sea,Average,Unknown,Ernest Hemingway,5.0,0,2
Pride and Prejudice,4.528662420382165,Must Read,The Best Chick Lit Book Ever Written,Very Good,Fiction,Jane Austen,5.0,1,4
Culture shock!: Korea,4.04,Must Read,Interesting snapshot.,Good,Travel,"Sonja Vegdahl Hur, Sonja Bernice Vegdahl, Ben Seunghwa Hur",5.0,23,3
SHILOH,4.510204081632653,Must Read,You are at Shiloh!,Average,Unknown,Unknown,5.0,0,2
Red Light Specialists,4.5,Must Read,Three Sexy stories for the price of one..,Very Good,Fiction,"Mandy M. Roth, Michelle M. Pillow",5.0,1,4
Child of the Phoenix,4.611111111111111,Must Read,Child of the Phoenix,Average,Fiction,Barbara Erskine,5.0,1,2
Down these mean streets,4.7272727272727275,Must Read,Street classic,Average,Fiction,Piri Thomas,5.0,1,2
Immanuel Kant's Critique of pure reason,4.099009900990099,Must Read,The Epistemology behind Relativity physics,Average,Philosophy,Immanuel Kant,5.0,29,2
Sinclair Lewis (University of Minnesota pamphlets on American writers),3.5,Very Good,An American Original Maligned,Good,Unknown,Unknown,4.0,0,3
"New Complete Guide to Landscaping: Design, Plant, Build (Better Homes and Gardens(R))",4.714285714285714,Must Read,Great book for your bookshelf!,Very Good,Unknown,Unknown,5.0,0,4
The Phantom Tollbooth (G.K. Hall large print for young readers),4.655440414507772,Must Read,I LOVE THIS BOOK,Very Good,Juvenile Fiction,"Norton Juster, Jules Feiffer",5.0,9,4
Damia,4.387096774193548,Must Read,"A Touching, Well-Written Story",Average,Fiction,Anne McCaffrey,5.0,1,2
Escape from freedom.,4.531914893617022,Must Read,A Social Psychology Explaining Totalitarian Movements,Average,Political Science,Erich Fromm,5.0,16,2
Cooking on Wheels,5.0,Must Read,Cooking on Wheels,Average,Unknown,Arlene Strom,5.0,0,2
Guinevere: The Legend in Autumn,4.818181818181818,Must Read,"At Last, Camelot from Gwen's Point of View!",Average,Fiction,Persia Woolley,5.0,1,2
"Alice""s Adventures in Wonderland",4.253164556962025,Must Read,alice adventures in wonderland,Good,Fiction,Lewis Carroll,5.0,1,3
An inquiry into the nature and causes of the wealth of nations,4.071428571428571,Must Read,Essential reading,Average,Capitalism,Adam Smith,5.0,89,2
Deliver Us from Evelyn,4.444444444444445,Must Read,"OMIGOSH, WHAT A FUN READ! Darkly funny with a subplot sure to delight comics fans!",Must Read,Fiction,Chris Well,5.0,1,5
"The Book of Ratings: Opinions, Grades, and Assessments of Everything Worth Thinking About",4.428571428571429,Must Read,Lore is a god. The end.,Good,Humor,Lore Fitzgerald Sjöberg,5.0,127,3
Downtown (Thorndike Core),4.161290322580645,Must Read,I have a new favorite author after reading this book!,Very Good,Fiction,Stephanie Danler,5.0,1,4
Jane And The Wandering Eye,4.041666666666667,Must Read,Excellent--Jane in society,Average,Fiction,Stephanie Barron,5.0,1,2
To kill a mockingbird,4.546211490424646,Must Read,The Most Boring Book Ever! Review,Average,Fiction,Harper Lee,5.0,1,2
"Crossroads of Twilight (The Wheel of Time, Book 10)",1.8024544734758512,Average,Much ado about nothing,Average,Fiction,Robert Jordan,2.0,1,2
Gone with the Wind,4.709677419354839,Must Read,Am American classic,Average,Fiction,Margaret Mitchell,5.0,1,2
The Winning Spirit: 16 Timeless Principles That Drive Performance Excellence,4.357142857142857,Must Read,Book,Average,Unknown,"Tom Mitchell, Ph.D.",5.0,0,2
"The Pritikin Health Library: The Pritikin Program for Diet and Exercise, the Pritikin Permanent Weight-Loss Manual",4.5,Must Read,Pritikin rocks,Average,Unknown,Nathan Pritikin,5.0,0,2
"Granny's wonderful chair, (The Macmillan children's classics)",4.357142857142857,Must Read,Much less than advertised,Average,Children,Frances Browne,5.0,63,2
Time out of joint,4.2,Must Read,What the...! Finish the story!,Average,Fiction,Philip K. Dick,5.0,1,2
Midnight's Children,4.116,Must Read,Midnight's Children,Average,Fiction,Salman Rushdie,5.0,1,2
Simple Abundance Journal of Gratitude,4.268656716417911,Must Read,Simple Abundance Journal,Average,Self-Help,Sarah Ban Breathnach,5.0,87,2
Animal Farm,4.457359009628611,Must Read,Great for those living in communist type of socialism,Very Good,Unknown,Unknown,5.0,0,4
In Xanadu: A Quest,4.157894736842105,Must Read,Insufferable author makes this all the more fun!,Very Good,Travel,William Dalrymple,5.0,23,4
"Awaken Me Darkly (Alien Huntress, Book 1)",3.3870967741935485,Very Good,NOT Close to Laurel Hamilton,Average,Fiction,Gena Showalter,4.0,1,2
Issola,4.576923076923077,Must Read,Back and better than ever,Good,Fiction,Steven Brust,5.0,1,3
"Little Women: or Meg, Jo, Beth, and Amy",4.447779111644658,Must Read,little women,Average,Juvenile Fiction,Rey Terciero,5.0,9,2
I Saw the Sea and the Sea Saw Me,4.428571428571429,Must Read,Dont Buy it!,Average,Juvenile Fiction,Megan Montague Cash,5.0,9,2
The quantum theory of radiation (The International series of monographs on physics),5.0,Must Read,Learnable QED &amp; THE bremsstrahlung treatment.,Average,Quantum theory,Walter Heitler,5.0,1142,2
"Dark Gold (The Carpathians (Dark) Series, Book 3)",4.25,Must Read,"Awesome Book,",Very Good,Fiction,Christine Feehan,5.0,1,4
"The Warren Buffett Way, Second Edition",3.8962264150943398,Very Good,This book is crap!,Average,Unknown,Unknown,4.0,0,2
Of Mice and Men,4.350148367952523,Must Read,Great Book!,Very Good,Unknown,Unknown,5.0,0,4
"No Way Out (Hardy Boys, No. 75)",3.5,Very Good,The Hardys in Idaho.,Average,Unknown,Unknown,4.0,0,2
The Catcher in the Rye [Audiobook] [Cd] [Unabridged] (Audio CD),4.016207951070337,Must Read,Read the goddamn book and all,Average,Young Adult Fiction,John Donovan,5.0,35,2
THE BOOK OF MORMON: Another Testament of Jesus Christ,4.015706806282722,Must Read,Best book I've ever read.,Very Good,Religion,"Joseph Smith, Jr.",5.0,6,4
Pride and Prejudice,4.5284313725490195,Must Read,I love it,Very Good,Fiction,Jane Austen,5.0,1,4
Deadly Valentine,3.7,Very Good,Enough already with the mystery allusions!,Average,Fiction,Carolyn Hart,4.0,1,2
Oxford Handbook of Clinical Specialties,4.666666666666667,Must Read,Exelent choice for the all-days,Average,Medical,Andrew Baldwin,5.0,82,2
The Partner Audio Book on Tape,3.8816901408450706,Very Good,Great service,Very Good,Fiction,John Grisham,4.0,1,4
A voyage to Arcturus (Canongate classics),4.396825396825397,Must Read,Not a journey for everyone,Average,Fiction,David Lindsay,5.0,1,2
Of Mice and Men (Penguin Audiobooks),4.350746268656716,Must Read,"""I'm sorry George""",Average,Fiction,John Steinbeck,5.0,1,2
Fiesta [The Sun Also Rises].,3.8607407407407406,Very Good,The Sun Also Rises,Average,Fiction,"Ernest Hemingway, Digital Fire",4.0,1,2
Amber Spyglass (10th Anniversary Ed),4.066666666666666,Must Read,How dissapointing,Average,Juvenile Fiction,Philip Pullman,5.0,9,2
Henderson the Rain King,3.9069767441860463,Very Good,Unfulfilling for both Henderson and Myself,Average,Fiction,Saul Bellow,4.0,1,2
Fire at Sea: The Tragedy of the Soviet Submarine Komsomolets,3.3333333333333335,Very Good,"A very interesting read, but still somewhat weak",Average,History,D. A. Romanov,4.0,8,2
Little Women,4.448441247002398,Must Read,A readable classic that still makes girls cry,Average,Fiction,Louisa May Alcott,5.0,1,2
My First Book Of Tracing (Kumon Workbooks),4.675,Must Read,Great skill builder,Very Good,Education,Kumon Publishing,5.0,21,4
Emma,4.224789915966387,Must Read,My thoughts refer to the unabridged audiobook,Average,FICTION,Jane Austen,5.0,47,2
A tree grows in Brooklyn: A novel (Armed Services edition),4.706852791878172,Must Read,Very good,Good,History,Molly Guptill Manning,5.0,8,3
"Please God, Don't Let My Badge Tarnish: One Man's Courage To Take A Stand!",5.0,Must Read,Urban Tiger,Average,True Crime,Kevin LaChapelle,5.0,34,2
The Cluetrain Manifesto: The End of Business As Usual,3.844155844155844,Very Good,The Last Chance to get a Clue -- before it's too late!,Good,Business,Rick Levine,4.0,1228,3
Artemis Fowl (SIGNED),4.24006908462867,Must Read,very entertaining,Good,Unknown,Unknown,5.0,0,3
The Widow's War: A Novel,4.4935064935064934,Must Read,The Widow's War,Poor,Fiction,Sally Gunning,5.0,1,1
Liberating Paris : A Novel,4.138888888888889,Must Read,Interesting But,Good,Fiction,Linda Bloodworth Thomason,5.0,1,3
Wuthering Heights (Signet classics),4.05462962962963,Must Read,A Classic,Average,Audiobooks,Emily Brontë,5.0,109,2
War Horse,4.6120906801007555,Must Read,Heart warming love story!,Must Read,Juvenile Fiction,Michael Morpurgo,5.0,9,5
Mere Christianity,4.457171314741036,Must Read,It just makes sense,Average,Religion,C. S. Lewis,5.0,6,2
Across the wide Missouri,4.1,Must Read,A flawed epic of the mountain men,Average,Unknown,Unknown,5.0,0,2
Alice's Adventures in Wonderland and Through the Looking Glass (Classic Collection (Brilliance Audio)),4.095505617977528,Must Read,Exactly what I was looking for!,Average,Unknown,Classic Good Books,5.0,0,2
Pocket Style Manual 4e & i cite,4.631578947368421,Must Read,off the chain,Average,Language Arts & Disciplines,Diana Hacker,5.0,11,2
Tristia,4.666666666666667,Must Read,Forgotten Poetry,Average,History,Ovid,5.0,8,2
The 3 A.M. Epiphany: Uncommon Writing Exercises that Transform Your Fiction,4.481481481481482,Must Read,Not just for 3 A.M.,Average,Unknown,Unknown,5.0,0,2
Lonely Planet Buenos Aires (Lonely Planet City Guide),3.7777777777777777,Very Good,A very good city guide,Good,Travel,Lonely Planet,4.0,23,3
"What to Expect When You're Expecting, 3rd Edition",3.0798514391829155,Very Good,It's very informative and complete!,Average,Unknown,Unknown,4.0,0,2
Artemis Fowl (SIGNED),4.24006908462867,Must Read,A Twelve-Year Old Evil Genius...Delightful!,Poor,Unknown,Unknown,5.0,0,1
"Cows, pigs, wars & witches;: The riddles of culture",4.285714285714286,Must Read,one of the best academic books I've read,Very Good,Social Science,Marvin Harris,5.0,45,4
Gone with the Wind,4.709514170040486,Must Read,Wonderful,Very Good,Fiction,Margaret Mitchell,5.0,1,4
Batman: The Killing Joke,4.4986945169712795,Must Read,The Best way to let go of those awful memories is to simply go mad!,Average,Comics & Graphic Novels,"Alan Moore, Brian Bolland",5.0,124,2
Charles Dickens' A Tale Of Two Cities,4.166666666666667,Must Read,my first e-book and I'm pleased,Good,Fiction,Charles Dickens,5.0,1,3
East of Eden,4.606431852986217,Must Read,East of Eden,Average,Brothers,John Steinbeck,5.0,174,2
"Prescription for Nutritional Healing: A Practical A-Z Reference to Drug-Free Remedies Using Vitamins, Minerals, Herbs & Food Supplements",4.750741839762611,Must Read,Splendid Reference Book,Very Good,Health & Fitness,Phyllis A. Balch CNC,5.0,19,4
The Tao of Pooh,4.269736842105263,Must Read,Playful use of Knowledge,Good,Humor,Benjamin Hoff,5.0,127,3
A Journal Of The Plague Year,4.282051282051282,Must Read,"I'm glad that I did not live in the 1660s...well, and that I am not British.",Good,Fiction,Daniel Defoe,5.0,1,3
Earth abides,4.032537960954447,Must Read,Falls Way Short of Expectations,Average,Fiction,George Rippey Stewart,5.0,1,2
Why Great Leaders Don't Take Yes for an Answer: Managing for Conflict and Consensus,4.851851851851852,Must Read,Why Great Leaders Don't Take Yes for an Answer,Good,Business & Economics,Bryan Coombs,5.0,7,3
Success Cards,4.333333333333333,Must Read,"Success, Abundance, and Wealth Consciousness",Must Read,Unknown,John Uke,5.0,0,5
Death of a Division.,3.6666666666666665,Very Good,No glory for the U.S. 106th Division,Average,"Ardennes, Battle of the, 1944-1945",Charles Whiting,4.0,1704,2
Adventures of Huckleberry Finn (Simple English),4.22007722007722,Must Read,This book is about a boy who goes on many adventures.,Good,Unknown,"Mark Twain, BookCaps Study Guides Staff",5.0,0,3
Writer's Reference (2001),4.5,Must Read,"Good handbook, except when it comes to revision",Good,Unknown,"Diana Hacker, Donald A. McQuade",5.0,0,3
Tarzan of the Apes,4.473429951690822,Must Read,"Good, Not Great",Average,Fiction,Edgar Rice Burroughs,5.0,1,2
Far from the Madding Crowd,4.32,Must Read,"This book is worth reading, a terific love story!",Very Good,Fiction,Thomas Hardy,5.0,1,4
"Advanced Calculus, 3rd Edition",4.5,Must Read,Wonderfully Masterful,Very Good,Mathematics,R. Creighton Buck,5.0,52,4
Lone Star Quilts & Beyond: Step-by-Step Projects and Inspiration,4.611111111111111,Must Read,Excellent sourcebook for quilters of any level,Very Good,Crafts & Hobbies,Jan Krentz,5.0,24,4
The Murder of Helen Jewett,3.71875,Very Good,Wordy but wonderful!,Very Good,Biography & Autobiography,Patricia Cline Cohen,4.0,14,4
To the Nines,4.3210227272727275,Must Read,My favorite in the series...next to High Five,Good,Fiction,Janet Evanovich,5.0,1,3
"Reefer Madness: Sex, Drugs, and Cheap Labor in the American Black Market",3.870967741935484,Very Good,da Man,Average,Business & Economics,Eric Schlosser,4.0,7,2
Gone with the Wind,4.705284552845528,Must Read,Gone with the wind,Average,Fiction,Margaret Mitchell,5.0,1,2
Touch the Earth: A Self Portrait of Indian Existence,5.0,Must Read,Touch your heart,Very Good,History,T. C. McLuhan,5.0,8,4
Moby Dick or the Whale (The World's Classics),4.038321167883212,Must Read,A whale of a book,Average,Young Adult Fiction,Herman Melville,5.0,35,2
Raising Teenagers: 52 brilliant ideas for high-performance parenting,2.3333333333333335,Good,Raising Teenagers (52 Brilliant Ideas),Very Good,Family & Relationships,Lynn Huggins-Cooper,3.0,48,4
The Japanese Tattoo,3.966666666666667,Very Good,LOve it,Very Good,Art,Unknown,4.0,46,4
Death of a Dragon (Comyr Saga),3.619047619047619,Very Good,Why do they let Greenwood keep doing it?,Average,Juvenile Fiction,"Ed Greenwood, Troy Denning",4.0,9,2
Who Moved My Cheese? An-Amazing Way to Deal with Change in Your Work and in Your Life,3.334218916046759,Very Good,Quick Read - Changes in Life,Average,Business & Economics,Spencer Johnson,4.0,7,2
Writing Process Activities Kit,4.857142857142857,Must Read,What a find!,Average,Education,Mary Lou Brandvik,5.0,21,2
Groundwork for the Metaphysics of Morals (Oxford Philosophical Texts),3.75,Very Good,GROUNDWORK FOR THE METAPHYSICS OF MORALS,Average,Philosophy,"Immanuel Kant, Jerome B. Schneewind",4.0,29,2
"The Merry Adventures of Robin Hood (Illustrated Classic Editions, 4513)",4.1940298507462686,Must Read,Howard Pyle's Robin Hood is easily the best.,Must Read,Fiction,"Mark Twain, Daniel Defae, Arthur Conan Doyle, Sir, Lucy Maud Montgomery, Professor Jules Verne, Anna Sewall, Jack Londen, Rudyard Kipling, Charles Dickens, Marry Mapes Dodge, Johanna Spyri, Victor Huga, H G Wells, Sir Walter Scott, Sir, Robert Louis Stevenson, Howard Pyle, James Fenimore Cooper, Washington Irving, Louisa May Alcott, Herman Melville, William Bligh, James Matthew Barrie, Oscar Wilde, Eleanor Porter, Edgar Allan Poe, Kate Wiggin, Stephen Crane, Frances Hodgson Burnett, Johann David Wyss, Kenneth Grahame, L Frank Baum, Jonathan Swift, Mary Wollstonecraft Shelley",5.0,1,5
Picture of Dorian Gray,4.262015503875969,Must Read,The Picture Of Dorian Gray I absolutely loved the novel writ,Must Read,Unknown,Unknown,5.0,0,5
The Piano Shop on the Left Bank: Discovering a Forgotten Passion in a Paris Atelier,4.275510204081633,Must Read,A warm Paris read,Good,Music,Thad Carhart,5.0,99,3
Organic Chemistry: With Infotrac,3.263157894736842,Very Good,bad business,Poor,Science,John McMurry,4.0,74,1
Without Reservations - The Travels Of An Independent Woman,3.610526315789474,Very Good,Quel disappointment!,Poor,Travel,Alice Steinbach,4.0,23,1
"Rich Dad, Poor Dad",3.7585954645208486,Very Good,Long-winded,Average,Business & Economics,Sharon L. Lechter,4.0,7,2
The Caine Mutiny A Novel of World War One,4.672413793103448,Must Read,not to be confused with the movie,Good,Fiction,Herman Wouk,5.0,1,3
Stone Of Tears (Turtleback School & Library Binding Edition) (Sword of Truth),3.940520446096654,Very Good,Kindle Version Stinks,Average,Young Adult Fiction,Tomi Adeyemi,4.0,35,2
"Soup for Every Body: Low-Carb, High-Protein, Vegetarian, and More",4.666666666666667,Must Read,Love the concept behind this book,Very Good,Cooking,"Joanna Pruess, Lauren Braun",5.0,15,4
Rancho Costa Nada: The Dirt Cheap Desert Homestead,4.8,Must Read,Great writing.,Very Good,"Architecture, Domestic",Phil Garlington,5.0,1799,4
The end of the affair,4.445859872611465,Must Read,Greene's Greatest,Very Good,Fiction,Graham Greene,5.0,1,4
Nineteen Eighty-four,4.563357972544878,Must Read,Futuristic Nightmare,Average,Totalitarianism,George Orwell,5.0,260,2
Persuasion,4.388888888888889,Must Read,An Austen Masterpiece - And An Extraordinary Romance!,Must Read,Fiction,Jane Austen,5.0,1,5
The Legend of Rah and the Muggles,1.3478260869565217,Average,WISH I COULD GIVE IT NO STAR,Good,Unknown,Unknown,2.0,0,3
"Incidents in the Life of a Slave Girl, by Harriet A. Jacobs: A True Tale of Slavery, by John S. Jacobs",4.562162162162162,Must Read,Brilliant Read,Very Good,Biography & Autobiography,Harriet Jacobs,5.0,14,4
Moby-Dick or The Whale,4.043165467625899,Must Read,English told and spoken beautifully,Very Good,Fiction,Herman Melville,5.0,1,4
"Edmund Campion,",4.642857142857143,Must Read,A Gift to the Church from One Novelist and Three Jesuits,Good,Religion,Evelyn Waugh,5.0,6,3
Smoke and Mirrors: The War on Drugs and the Politics of Failure,4.4,Must Read,"Good overall, but feels overwrought with detail",Good,Social Science,Dan Baum,5.0,45,3
Dr. Bernstein's Diabetes Solution: The Complete Guide to Achieving Normal Blood Sugars Revised & Updated,4.678321678321678,Must Read,This is THE book on Diabetes,Average,Health & Fitness,Richard K. Bernstein,5.0,19,2
De Bono's Thinking Course,4.041666666666667,Must Read,Too insulting to finish.,Average,Creative thinking,Edward De Bono,5.0,1781,2
Of Mice & Men,4.35048471290082,Must Read,Characterization tells a strong story,Very Good,California,John Steinbeck,5.0,204,4
Anything for Billy,3.4411764705882355,Very Good,OK if you don't have anything else to read,Good,Fiction,Larry McMurtry,4.0,1,3
The Hunters (A Presidential Agent Novel),3.6630434782608696,Very Good,"""Web"" Griffin's Back!!!",Average,Unknown,Unknown,4.0,0,2
It's here-- somewhere!,4.733333333333333,Must Read,They Nail It!,Average,Dwellings,Alice Fulton,5.0,562,2
Teach Yourself Sanskrit Complete Course,3.5555555555555554,Very Good,A complete course,Average,Sanskrit language,Michael Coulson,4.0,732,2
The Vision of Emma Blau,3.6,Very Good,Slow but Steady,Average,Fiction,Ursula Hegi,4.0,1,2
Fahrenheit 451,4.158980582524272,Must Read,A little Confusing,Average,Book burning,Ray Bradbury,5.0,91,2
The great Gatsby (Leading English literature library),4.15118912797282,Must Read,"An Important Read, Whether You Want To Or Not",Good,Fiction,F. Scott Fitzgerald,5.0,1,3
Jane Eyre / Wuthering Heights,4.050279329608938,Must Read,Tedious and unengaging,Average,Boarding schools,Charlotte Brontë,5.0,291,2
